,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,جدول 1: ميـزان المدفـوعــات,,Contd. 4 table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 4 جدول 1: ميـزان المدفـوعــات,,Contd.4 Table 1: Balance of Payments,,,,,,,,,,تابع 4 جدول 1: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,,
(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,(مليون ﷼),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-12-31T00:00:00,2025-12-31T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,
Debit,,,,,,,,,,,,,,,3555.11066906825,3281.7440708477698,4266.7573486744295,7813.2699999999995,9082,11886.714,12689.76613137962,,مديـن,,Debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868.60912148177,892.61979370692,900.76059989137,893.12115398819,801.81831162352,823.98270776949,831.49753498997,824.44551646479,1042.48353910718,1071.30056386386,1081.07096142529,1071.9022842781,1908.99193368249,1961.76156097114,1979.65307621712,1962.86342912925,2219,2280,2301,2282,مديـن,,Debit,2904.246,2984.526,3011.742,2986.2,3013.55,3579.37858621306,3009.781478,3087.05606716656,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b.10 Charges for the Use of Intellectual Property,,,,,,,,,,,,,,,-3039.44112259223,-2567.33642869471,-2905.8171304602,-4393.70000000001,-4974,-5647.91086850572,-5525.12299766666,, 1.أ.ب.10 رسوم استخدام حقوق الملكية الفكرية,,1.A.b.10 Charges for the Use of Intellectual Property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-842.18113673702,-628.1733595557,-674.2071190135,-894.8795072860099,-706.60911583904,-540.6432058148799,-570.49029970141,-749.59380733938,-799.88220735487,-611.6840404218301,-645.6805770248001,-848.5703056587,-1218.48539877721,-905.8258343549298,-974.3840757797201,-1295.0046910881501,-1498,-1124,-760,-1592, 1.أ.ب.10 رسوم استخدام حقوق الملكية الفكرية,,1.A.b.10 Charges for the Use of Intellectual Property,-1565.4465099270199,-1166.2308538842199,-1252.71412256624,-1663.51938212824,-1454.27337520782,-1505.7069018704,-1060.39931816408,-1504.74340242436,, 1.أ.ب.10 رسوم استخدام حقوق الملكية الفكرية,,,,,,,,,,,,,,,,,,,,,
Credit,,,,,,,,,,,,,,,334.04491786925,146.46251588253,168.99136527310003,513.12,529,634.80298149428,847.13258280951,,دائــن,,Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.55503809693,96.47460560634,76.84406000992,81.17121415606,34.88103068632,42.29944148233,33.69239811062,35.58964560326,40.24642730118,48.80593729608,38.87495938282,41.06404129302,122.20297021335,148.192793785,118.03868870031,124.68554730134,126,153,122,128,دائــن,,Credit,151.18116507298,183.33677111578,146.03025243376,154.25479287176,200.84662479218,199.07339810785,212.45806308592,234.75449682356,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,,,,,,,,,,,,,,,3373.48604046148,2713.79894457724,3074.8084957333003,4906.820000000011,5503,6282.71385,6372.25558047617,,مديـن,,Debit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.73617483395,724.64796516204,751.05117902342,976.05072144207,741.49014652536,582.94264729721,604.18269781203,785.18345294264,840.12863465605,660.48997771791,684.55553640762,889.63434695172,1340.68836899056,1054.01862813993,1092.42276448003,1419.69023838949,1624,1277,882,1720,مديـن,,Debit,1716.627675,1349.567625,1398.744375,1817.774175,1655.12,1704.78029997825,1272.85738125,1739.49789924792,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b.11 Other services,16931,24811,6611.25,-36240.65,-27473.9,-31423.799999999996,-50693.181249999994,-25411.5125,-20420.53125,-29521.3125,-20384.82425,-23497.71156998,-35320.32625,-38980.4965,-44192.26821580425,-35248.15679632284,-38805.93362978149,-58213.05000000001,-69363,-63880.34606269156,-56442.69689012604,, 1.أ.ب.11 خدمات أخرى ,,1.A.b.11 Other services,5429.125,5465.125,6491.875,7424.875,3406,691,349.75,2164.5,-5738.900000000001,-8169,-12287.45,-10045.300000000001,-5301.4,-8048.700000000001,-8212.2,-5911.599999999999,-5198.099999999999,-9224,-9852.1,-7149.599999999999,-6984.662499999999,-14020.243750000001,-18327.575,-11360.7,-8925.88125,-5752.13125,-4163.25,-6570.25,-4204.75,-5475.299999999999,-5093.987499999999,-5646.493750000001,-4441.33125,-5821.424999999999,-11651.1125,-7607.44375,-3773.774,-5473.51975,-4498.610750000001,-6638.91975,-5491.86525,-5076.22425,-6128.99031998,-6800.63175,-6070.9935,-14959.94225,-6235.28225,-8054.10825,-9765.89075,-6152.1745,-6794.03675,-16268.3945,-6901.23124963234,-8353.4373069737,-10082.76677430576,-18854.83288489245,-11268.65534060911,-9484.22929356337,-5648.9237960637,-8846.348366086659,-7622.60235528985,-4933.54431329121,-9243.47177551798,-17006.31518568245,-5975.73399086658,-29315.77886824438,-5176.487975452061,-17745.04916543699,-16781,-18535,-15396,-18651, 1.أ.ب.11 خدمات أخرى ,,1.A.b.11 Other services,-15457.87950909602,-17083.92712620543,-14146.05754434985,-17192.48188304026,-16282.166242837251,-13126.82906528917,-12138.10551087448,-14895.596071125141,, 1.أ.ب.11 خدمات أخرى ,,,,,,,,,,,,,,,,,,,,,
Credit,17013,24941,28821.5,128.20000000000002,211.3,258.2,267.2,335.6,334,343.1,60.8,78,76,85,1871.39149103156,924.28019886274,1201.32095078063,4108.95,6343,6729.58691185844,9281.280448479349,,دائــن,,Credit,5443,5482,6530,7486,6731,6287,7970,7833.5,45.4,30.5,21,31.3,50.3,57.4,42.3,61.3,65.3,60.3,67.3,65.3,67.3,64.3,69.3,66.3,71.4,80.4,89.4,94.4,98.4,109.1,63.1,63.4,86.5,79.1,112.1,65.4,12,15,16.4,17.4,22,18,19,19,12,20,23,21,15,17,25,28,667.63155896261,662.57374412199,141.61881553752,399.56737240944,206.48104370462,75.48769339739,144.3147079656,497.99675379513,130.54457938625,346.56477622779,382.30912534545,341.90246982114,1096.58686708861,619.80996835443,1478.00838607595,914.54477848101,1510,1586,1665,1582,دائــن,,Credit,1602.32853358088,1682.449487926,1766.56995017581,1678.23894017575,2043.92375716275,2306.76377983233,2342.38550914387,2588.2074023404,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,82,130,22210.25,36368.85,27685.199999999997,31682,50960.38125,25747.112500000003,20754.53125,29864.4125,20445.62425,23575.71156998,35396.32625,39065.4965,46063.65970683581,36172.43699518558,40007.25458056212,62322.00000000001,75706,70609.93297455,65723.97733860539,,مديـن,,Debit,13.875,16.875,38.125,61.125,3325,5596,7620.25,5669,5784.3,8199.5,12308.45,10076.6,5351.7,8106.1,8254.5,5972.9,5263.4,9284.3,9919.4,7214.9,7051.9625,14084.54375,18396.875,11427,8997.28125,5832.53125,4252.65,6664.65,4303.15,5584.4,5157.0875,5709.89375,4527.83125,5900.525,11763.2125,7672.84375,3785.774,5488.51975,4515.01075,6656.31975,5513.86525,5094.22425,6147.99031998,6819.63175,6082.9935,14979.94225,6258.28225,8075.10825,9780.89075,6169.1745,6819.03675,16296.3945,7568.86280859495,9016.01105109569,10224.38558984328,19254.40025730189,11475.13638431373,9559.71698696076,5793.2385040293,9344.34511988179,7753.1469346761,5280.109089519,9625.78090086343,17348.21765550359,7072.32085795519,29935.58883659881,6654.49636152801,18659.593943918,18291,20121,17061,20233,مديـن,,Debit,17060.2080426769,18766.37661413143,15912.62749452566,18870.72082321601,18326.09,15433.5928451215,14480.49102001835,17483.80347346554,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.A.b.12 Government goods and services n.i.e.,-49484,-74393.200125,-61911.389500000005,-95320.724,-103618.13799999999,-95395.46,-85087.09,-86410.92,-91391.07,-139900.95,-118797.855,-73149.78662500001,-88445.3536,-105894.29172020205,-85568.83259523014,-64186.076859825815,-39618.98878677001,-40537.23261942,-27542.191424285647,-21124.512084070713,-15415.083503594411,, 1.أ.ب.12 السلع والخدمات الحكومية غير مدرجة في موضع آخر,,1.A.b.12 Government goods and services n.i.e.,-10406.6885,-13319.322125,-24591.21125,-26075.97825,-9363,-15755.20325,-16590.5275,-20202.65875,-30636.212,-24479.68,-23685.316,-16519.516,-23252.334,-32057.066,-27715.288,-20593.45,-18824.79,-28203.15,-22926.69,-25440.83,-14288.48,-21032.01,-28519.84,-21246.76,-21027.66,-25338,-21887.78,-18157.48,-19049.9,-22543.73,-22948.56,-26848.88,-44870.00000000001,-18737.5,-36996.5,-39296.95,-18422.895,-32402.579999999998,-45344.15,-22628.23,-20516.33,-20085.078749999997,-11601.556875,-20946.821,-18293.710000000003,-23574.22,-17074.3636,-29503.06,-27472.076250000002,-29083.82603582483,-18821.9805,-30516.40893437721,-27084.445,-20239.528075000002,-19629.02,-18615.839520230133,-13837.84518173047,-21735.87275000427,-12044.878359093751,-16567.480568997322,-8933.04,-10696.358780000011,-7690.738273269999,-12298.8517335,-9276.508431729999,-17706.87193074,-6474.67328552,-7079.17897143,-9227,-5618.714399343171,-7782,-4914.47702494248, 1.أ.ب.12 السلع والخدمات الحكومية غير مدرجة في موضع آخر,,1.A.b.12 Government goods and services n.i.e.,-8971.567608596772,-3240.1657354139197,-5011.32668192748,-3901.4520581325396,-2427.69583563277,-5399.47608558786,-4046.66912906036,-3541.24245331342,, 1.أ.ب.12 السلع والخدمات الحكومية غير مدرجة في موضع آخر,,,,,,,,,,,,,,,,,,,,,
Credit,865,855,914.5,905,1205,1265,1396,1782,2011,2080,2499.13,2573.084,2567.37,2541.53,2675.867,2289.9082636511002,2256.16,5589.080264,8223.850237064351,8920.87785179574,9326.47533763841,,دائــن,,Credit,205,220,220,210,230,235,230,219.5,230,235,230,210,250,295,350,310,300,295,320,350,330,314,360,392,382,420,500,480,491,501,500,519,522,520,502,536,606.03,595.95,708.53,588.62,682.23,666.06,608.98,615.814,577.01,685.03,637.03,668.3,627.23,673.96,604.67,635.67,624.49,644.817,758.89,647.67,578.49,559.49,572.49,579.4382636511,567.39,535.39,569.19,584.19,1061.19,1254.290406,1419.0269,1854.572958,2238,2140.52390224683,1637,2208.32633481752,دائــن,,Credit,2646.19232522322,2020.27177681608,1817.58159949252,2436.83215026392,2812.644385,1621.78174428616,2050.14394769171,2841.90526066054,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,50349,75248.200125,62825.889500000005,96225.724,104823.13799999999,96660.46,86483.09,88192.92,93402.07,141980.95,121296.98500000002,75722.870625,91012.7236,108435.82172020203,88244.69959523014,66475.98512347692,41875.14878677001,46126.312883419996,35766.04166135,30045.389935866453,24741.55884123282,,مديـن,,Debit,10611.6885,13539.322125,24811.21125,26285.97825,9593,15990.20325,16820.5275,20422.15875,30866.212,24714.68,23915.316,16729.516,23502.334,32352.066,28065.288,20903.45,19124.79,28498.15,23246.69,25790.83,14618.48,21346.01,28879.84,21638.76,21409.66,25758,22387.78,18637.48,19540.9,23044.73,23448.56,27367.88,45392.00000000001,19257.5,37498.5,39832.95,19028.925,32998.53,46052.68,23216.85,21198.56,20751.13875,12210.536875,21562.635,18870.72,24259.25,17711.3936,30171.36,28099.30625,29757.78603582483,19426.6505,31152.07893437721,27708.935,20884.345075,20387.91,19263.50952023013,14416.33518173047,22295.36275000427,12617.36835909375,17146.91883264842,9500.43,11231.74878000001,8259.92827327,12883.0417335,10337.69843173,18961.16233674,7893.70018552,8933.75192943,11465,7759.23830159,9419,7122.80335976,مديـن,,Debit,11617.75993381999,5260.43751223,6828.90828142,6338.28420839646,5240.34022063277,7021.25782987402,6096.81307675207,6383.14771397396,,مديـن,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contd..2 Table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,تابع 2 جدول 1: ميـزان المدفـوعــات,,Contd. 5 table 1: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 5 جدول 1: ميـزان المدفـوعــات,,Contd…5 Table 1: Balance of Payments,,,,,,,,,,تابع 5 جدول 1: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,,
(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون ﷼),,(Million ﷼),,,,,,,,,,(مليون ﷼),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-12-31T00:00:00,2025-12-31T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,,,,p,p,p,p,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,,
1.B Primary income,10572.599999999999,29960.753502333933,46745.83949153047,62197.92982441104,60067.92743024001,55154.04150074391,60482.579487816336,74583.51935282597,79452.56334172071,86353.42280348612,80113.07947647927,57573.23030640911,44558.70935834083,30654.281497237225,30579.834366538686,42057.56741749323,43915.87726919225,32254.437326113504,28916.905422127227,32660.714130601948,39988.476145616834,,1.ب الدخـــــل الأولي,,1.B Primary income,5445.60450033662,7668.683305994278,9532.241295207657,7314.224400795378,8978.44224523223,12850.38390776877,14032.299200552168,10884.7141379773,13341.91700299454,18261.125644925087,16070.02396785253,14524.863208638879,15821.110433830248,15989.51740822434,16164.012616122618,12093.2869720628,13319.02312134167,15117.262610866368,14538.82258776283,12178.93318077304,12363.5688204574,17637.83878316119,16609.513411622087,13871.65847257566,14742.1229583515,21339.46870030142,20084.33916624044,18417.588527932618,15499.824600109701,23153.650090389358,22718.61893184167,18080.46971937998,18773.38964398185,24961.53927651726,23683.9317555345,18934.56212745251,16115.290731228828,21695.478935919265,24300.492896175412,18001.81691315576,11417.2463383849,17354.48877897186,16769.13401956191,12032.36116949044,10252.225868442842,11600.61302431206,12016.10880843945,10689.761657146479,6628.624728664041,10885.225378859011,7398.892119163353,5741.53927055082,8980.195769566251,12743.612114511037,2470.546831099169,6385.47965136223,-7225.54231606017,-70.71115535697027,21203.69833611491,28150.12255279546,10156.592214784821,10489.81387507337,13039.882669290431,10229.588510043632,10069.277215148408,6470.411715922,18237.487707324086,-2522.739312280988,8329.860822710303,11968.895913304492,6732.9181323601915,1885.2305537522407,1.ب الدخـــــل الأولي,,1.B Primary income,10919.356622164927,3009.916851606511,7436.040251503611,11295.400405326902,8407.18117216351,13245.277573634503,7569.433820361057,10766.583579457765,,1.ب الدخـــــل الأولي,,,,,,,,,,,,,,,,,,,,,
Credit,18951.6,39252.799999999996,56730.13125,80618.275,74070.1625,68143.16187499999,74121.39625,88678.3046875,94389.225,101665.311875,95912.45368984,77770.03519750593,71173.79151899483,72993.44137441125,77328.4767044431,81469.88424811666,99441.68094305869,97268.97649978782,128337.80156598578,148375.93486812504,154425.22454002898,,دائــن,,Credit,7685.5,10003.624999999998,11874.774999999998,9688.899999999998,11367,15304.03125,16581.1,13478,16778.9375,22478.175,21120.375,20240.7875,19000.399999999998,19524.1625,19740.1,15805.5,16412.44875,18274.071874999998,17702.410625,15754.230625,15692.4175,20890.83125,20080.268125,17457.879375,18092.140625,24801.1859375,23679.284375,22105.69375,19062.571875,26860.334375,26483.234375,21983.084375,22354.315,28832.584375,27553.721875,22924.690625,19785.943499999998,25614.761199999997,28401.487128,22110.261861839997,15143.67255671872,21524.99940117247,23678.160056253848,17423.2031833609,16240.718156992432,18101.76720525041,18683.23387089242,18148.072285859558,14322.35019214643,20509.4173376836,18512.38147638507,19649.29236819615,19082.94709425672,24679.542046624858,13968.21934882586,19597.76821473566,1191.0118641808995,9906.8154859838,29551.47097043687,40820.58592751511,20502.82925761112,25498.75510420286,24876.63172821496,28563.46485302975,22183.716977252498,22290.270301687,34332.72229007089,18462.26693077744,27338.482496922923,37888.70142629261,30179.63634555704,32930.9812972132,دائــن,,Credit,30748.524648245748,33020.02941322358,35807.78056776034,48799.60023889538,32948.98248346839,43549.89799346261,37398.37958420902,40527.96447888896,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,8379,9292.04649766606,9984.29175846953,18420.345175588962,14002.235069759989,12989.12037425609,13638.81676218366,14094.78533467402,14936.66165827929,15311.88907151388,15799.37421336073,20196.80489109683,26615.08216065399,42339.159877174025,46748.64233790441,39412.31683062345,55525.80367386644,65014.53917367432,99420.89614385854,115715.2207375231,114436.74839441215,,مديـن,,Debit,2239.89549966338,2334.94169400572,2342.53370479234,2374.67559920462,2388.55775476777,2453.64734223123,2548.8007994478303,2593.2858620227,3437.0204970054597,4217.049355074911,5050.35103214747,5715.92429136112,3179.28956616975,3534.6450917756597,3576.08738387738,3712.2130279372,3093.42562865833,3156.80926413363,3163.58803723717,3575.29744422696,3328.8486795426,3252.99246683881,3470.75471337791,3586.22090242434,3350.0176666485,3461.71723719858,3594.94520875956,3688.10522206738,3562.7472748903,3706.68428461064,3764.61544315833,3902.61465562002,3580.92535601815,3871.04509848274,3869.7901194655,3990.12849754749,3670.65276877117,3919.28226408073,4100.99423182459,4108.4449486842395,3726.42621833382,4170.51062220061,6909.026036691939,5390.8420138704605,5988.49228854959,6501.15418093835,6667.125062452971,7458.3106287130795,7693.725463482389,9624.19195882459,11113.489357221719,13907.75309764533,10102.75132469047,11935.92993211382,11497.67251772669,13212.288563373431,8416.55418024107,9977.52664134077,8347.77263432196,12670.46337471965,10346.237042826298,15008.94122912949,11836.74905892453,18333.876342986117,12114.43976210409,15819.858585765,16095.234582746802,20985.00624305843,19008.62167421262,25919.805512988118,23446.718213196848,31045.750743460958,مديـن,,Debit,19829.16802608082,30010.11256161707,28371.740316256728,37504.19983356848,24541.80131130488,30304.62041982811,29828.94576384796,29761.38089943119,,مديـن,,,,,,,,,,,,,,,,,,,,,
1.B.1 Compensation of employees ,-1891,-2095,-2163,-2004.3,-2129,-2449.2,-2382,-2339.8,-2415.1000000000004,-2446.1099999999997,-2560.121,-1976.893,-1837.545,-2163.12,-2163.29,167.44902048327998,-2326.0642563428,-920.81411035667,-967.97678765666,-2039.91160650954,-1359.2907642727998,,1.ب.1 تعويضات العاملين,,1.B.1 Compensation of employees ,-519,-548,-523,-505,-503,-531,-553,-576,-481.3,-513.9,-482.3,-526.8,-497,-496,-569,-567,-598,-546.2,-610,-695,-669,-537,-585,-591,-604,-557,-585.8,-593,-605.1,-599.2,-601,-609.8,-547.31,-682.5,-611.3,-605,-580.763,-688.296,-694.096,-596.966,-444.731,-517.977,-477.956,-536.229,-417.23,-433.2,-483.8,-503.315,-298.12000000000006,-418.40000000000003,-858.8,-587.8,-350.4200000000001,-349.85,-792.1,-670.9200000000001,-301.37,160.76,143.06,164.99902048328,-569.4969382528,-188.55599999999998,-208.66220211,-1359.34911598,-121.60840721,-175.62978858000002,-389.76330377,-233.81261079667001,-191.16153433333,-243.15554126332995,-348.37269533,-185.28701673,1.ب.1 تعويضات العاملين,,1.B.1 Compensation of employees ,-637.4002902300001,-420.91457387333,-303.68477323060995,-677.9119691756,-361.60099153870004,-388.20254793562,-375.62822229437995,-233.85900250410003,,1.ب.1 تعويضات العاملين,,,,,,,,,,,,,,,,,,,,,
Credit,352,396,463,810.7,804,886.8,914,922.2,1007.9000000000001,1024.89,1107.879,1190.107,1090.455,1255.93,1252.61,1133.44902048328,1105.928699,1076.40167685333,1171.2982099533401,1269.24991082925,1314.63554469126,,دائــن,,Credit,80,102,99,115,99,101,138,125,175.7,189.1,230.7,215.2,183,204,204,213,224,203.8,234,225,242,218,225,229,236,233,224.2,229,245.9,291.8,234,236.2,262.69,268.5,243.7,250,253.237,285.704,293.904,275.034,289.269,302.023,312.044,286.771,216.77,300.8,291.2,281.685,306.33,302.2,322.2,325.2,304.03,314.6,328.9,305.08,283.63,280.76,276.06,292.99902048328,272.31,277.43,280.622,275.566699,271.45393626,268.46118443,260.54063695,275.94591921333,296.99536088667,284.26422870667,282.01348516,308.0251352,دائــن,,Credit,311.7551352,318.27680186667,322.13621721939,317.08175654319,320.83175654319,326.08175654319,332.94101580244,334.78101580244,,دائــن,,,,,,,,,,,,,,,,,,,,,
Debit,2243,2491,2626,2815,2933,3336,3296,3262,3423,3471,3668,3167,2928,3419.05,3415.9,966,3431.9929553428,1997.2157872100001,2139.2749976100004,3309.16151733879,2673.92630896406,,مديـن,,Debit,599,650,622,620,602,632,691,701,657,703,713,742,680,700,773,780,822,750,844,920,911,755,810,820,840,790,810,822,851,891,835,846,810,951,855,855,834,974,988,872,734,820,790,823,634,734,775,785,604.45,720.6,1181,913,654.45,664.45,1121,976,585,120,133,128,841.8069382528,465.986,489.28420211,1634.91581498,393.06234347,444.09097301,650.30394072,509.75853001,488.15689522,527.41976997,630.38618049,493.31215193,مديـن,,Debit,949.15542543,739.19137574,625.82099045,994.99372571879,682.43274808189,714.28430447881,708.56923809682,568.64001830654,,مديـن,,,,,,,,,,,,,,,,,,,,,
