,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,القطاع الخارجي       External Sector,,القائمة الرئيسية   Main List,,,,,,,,,,القطاع الخارجي       External Sector,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 2: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,جدول 2: ميـزان المدفـوعــات,,Contd. 4 Table 2: Balance of Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تابع 4 جدول 2: ميـزان المدفـوعــات,,Contd.4 Table 2: Balance of Payments,,,,,,,,,,تابع 4 جدول 2: ميـزان المدفـوعــات,,,,,,,,,,,,,,,,,,,,
(Million US$),,,,,,,,,,,,,,,,,,,,,,,(مليون US$),,(Million US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(مليون US$),,(Million US$),,,,,,,,,,(مليون US$),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005-12-01T00:00:00,2006-12-31T00:00:00,2007-12-31T00:00:00,2008-12-31T00:00:00,2009-12-31T00:00:00,2010-12-31T00:00:00,2011-12-31T00:00:00,2012-12-31T00:00:00,2013-12-31T00:00:00,2014-12-31T00:00:00,2015-12-31T00:00:00,2016-12-31T00:00:00,2017-12-31T00:00:00,2018-12-31T00:00:00,2019-12-31T00:00:00,2020-12-31T00:00:00,2021-12-31T00:00:00,2022-12-31T00:00:00,2023-12-31T00:00:00,2024-01-01T00:00:00,2025-01-01T00:00:00,,,,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,,,,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,
3.1 Direct investment ,-4735.323063113099,-6014.447388898122,-6310.147781238323,-2008.3639685864105,1740.9187184170937,-972.0457285850296,-1253.9372146010426,-633.5125176125413,1571.884876806109,3886.9269126966537,1419.2842487119733,-12692.875423289372,7159.403360836987,7111.206239997754,11473.648331742328,3789.6584515332584,-3676.478911315148,-178.70253247629637,-5458.375287021453,6274.462258113113,-5597.179687569213,,1.3 الاستثمار المباشر,,3.1 Direct investment ,-1869.5300243008692,-1461.5717245793146,-1400.69310409372,-1282.6525359242187,-1439.5728190135892,-1479.9120909374267,-1410.7717979432398,-1979.8910733440669,-1211.276110336424,-957.5934446179601,62.31374877351215,98.19183759446132,568.6553597575707,478.7021189038853,318.995115494648,374.56612426098934,366.834339475152,539.6439239573333,-754.883517529792,-1123.6404744877227,-1035.0744531779067,-1139.5778067322376,559.19783399256,361.5172113165414,188.42915691945333,874.245910318832,418.78842839706135,-2114.9760132478877,-116.25039878321064,444.0091365050612,409.55154003335207,834.5745990509065,712.3633860680027,653.475293015304,1219.373463302896,1301.7147703104506,442.60467960796535,-664.9756510303735,969.5347955015627,672.1204246328185,-4451.599736241933,-1557.2890954436452,-3750.020725707408,-2933.965865896384,5525.203729047947,2620.688548479405,5951.6045841384375,-6938.0935008288025,376.52377873303726,1213.1409968373468,-1594.5545016962299,7116.095966123599,3547.2698185952218,2909.256904451139,76.16491910300537,4940.956689592963,201.66534377914934,-1018.4724441915866,1127.7324601465762,3478.73309179912,9098.36262379492,-12278.336356761532,-2229.243670120035,1732.7384917714987,-7139.525161263601,7243.720140621035,-4174.95910635507,3892.0615945213385,2198.525724422691,-235.53185120013077,-4944.495434643314,-2476.873725600699,1.3 الاستثمار المباشر,,3.1 Direct investment ,-848.3138061407896,176.51502250138438,362.94641400905095,6583.314627743467,-1074.3810226090457,-3519.6376223399548,6848.197084832086,-7851.358127452301,,1.3 الاستثمار المباشر,,,,,,,,,,,,,,,,,,,,
Net acquisition of financial assets,-349.8666666666667,-38.559999999999995,-134.82666666666668,3497.62,2177.27,3906.8486666666663,3429.9186666666665,4401.548333333333,4943.293333333333,5395.990000000001,5389.928333333332,9261.958466666665,8173.4658619773545,19252.328472901703,14552.865583065879,5410.922646968579,24673.894422018187,26531.35960085704,17345.12287356139,27612.02432777878,27030.91549952068,,صافي حيازة الأصول المالية,,Net acquisition of financial assets,-62.50666666666667,-1.3866666666666667,0,25.333333333333332,0,3.3066666666666666,4,-142.13333333333333,584.0633333333334,706.9533333333333,1371.6466666666668,834.9566666666667,677.6,607.6166666666667,447.22666666666663,444.82666666666665,1018.4706666666666,981.85,915.246,991.2819999999999,858.004,778.8733333333333,906.5286666666667,886.5126666666667,996.6166666666667,1293.855,1081.7633333333333,1029.3133333333333,1029.8833333333334,1302.7233333333331,1312.0833333333333,1298.6033333333332,1086.5066666666667,1094.2966666666666,1725.5633333333333,1489.6233333333332,1363.1583333333333,1416.5819999999999,1394.3026666666667,1215.8853333333332,2124.5065,4501.6323,1488.4019999999973,1147.4176666666667,5868.256373710371,2914.7804273667225,6091.68624945232,-6701.257188552058,3062.303595222925,2858.86052840128,2311.3379335180102,11019.826415759488,3990.3733705522295,3192.126864183315,1325.9944004301146,6044.370947900222,576.6580227047574,-422.52381697904804,1597.406858743448,3659.3815824994213,11190.155844484447,6889.704621735045,1785.5852813723945,4808.448674426299,10482.048320036605,10606.196053960624,-1101.5742918742667,6544.689518734074,6535.729898567918,5822.882460962621,676.547144247432,4309.9633697834215,صافي حيازة الأصول المالية,,Net acquisition of financial assets,3429.3294593285705,5490.416378428072,5306.6062036806425,13385.672286341496,5232.866560209856,2804.0326873037307,13943.836334137373,5050.179917869723,,صافي حيازة الأصول المالية,,,,,,,,,,,,,,,,,,,,
Net incurrence of liabilities,4385.456396446432,5975.8873888981225,6175.321114571657,5505.983968586411,436.35128158290667,4878.894395251697,4683.855881267709,5035.060850945874,3371.4084565272237,1509.0630873033467,3970.6440846213595,21954.833889956037,1014.062501140368,12141.12223290395,3079.2172513235514,1621.2641954353198,28350.37333333333,26710.062133333337,22803.498160582847,21337.562069665666,32628.095187089893,,صافي تحمل الخصوم,,Net incurrence of liabilities,1807.0233576342027,1460.185057912648,1400.69310409372,1307.985869257552,1439.5728190135892,1483.2187576040933,1414.7717979432398,1837.7577400107334,1795.3394436697572,1664.5467779512935,1309.3329178931547,736.7648290722053,108.94464024242933,128.91454776278132,128.23155117201867,70.26054240567734,651.6363271915146,442.20607604266667,1670.129517529792,2114.922474487723,1893.0784531779066,1918.4511400655708,347.3308326741067,524.9954553501253,808.1875097472133,419.60908968116803,662.9749049362721,3144.2893465812213,1146.133732116544,858.7141968282721,902.5317932999812,464.0287342824267,374.14328059866403,440.82137365136265,506.1898700304373,187.90856302288267,920.553653725368,2081.5576510303736,424.767871165104,543.7649087005146,6576.106236241933,6058.921395443645,5238.422725707405,4081.3835325630507,343.05264466242403,294.09187888731736,140.08166531388267,236.836312276744,2685.7798164898877,1645.7195315639333,3905.8924352142403,3903.730449635888,443.103551957008,282.86995973217597,1249.8294813271093,1103.4142583072585,374.992678925608,595.9486272125386,469.67439859687204,180.64849070030135,2091.7932206895252,19168.040978496578,4014.8289514924295,3075.7101826548,17621.573481300205,3362.4759133395896,3073.3848144808026,2652.6279242127357,4337.204174145227,6058.414312162752,5621.042578890747,6786.83709538412,صافي تحمل الخصوم,,Net incurrence of liabilities,4277.64326546936,5313.901355926688,4943.659789671592,6802.35765859803,6307.247582818902,6323.670309643685,7095.639249305288,12901.538045322024,,صافي تحمل الخصوم,,,,,,,,,,,,,,,,,,,,
3.2 Portfolio investment ,-350.1333333333333,11932.853333333333,5472.266666666666,1630.4461962360451,20138.71,15154.262000000004,16047.652,3184.348333333333,6606.173333333333,26780.157200000005,10769.662788226668,235.96872259732723,3333.2839257279993,11979.185459692204,-12634.933084082013,23690.21833152069,37122.279040107955,35843.61019437146,41931.89151949582,6852.449352067375,-52386.386080137716,,2.3 استثمارات الحافظة,,3.2 Portfolio investment ,2231.733333333333,4595.093333333333,3628.96,1477.0666666666666,2690.9333333333334,5208.8,-2053.0666666666666,-374.4,-441.88174513333337,1016.4459366666667,3301.7455753160452,-2245.8635706133336,2498.213333333333,5933.03,7757.36,3950.1066666666643,3249.110666666669,6235.590000000002,926.2793333333333,4743.282,6939.037333333333,901.5399999999998,4771.828666666666,3435.246,1818.45,-3161.445,3162.83,1364.5133333333333,861.3766666666667,6581.883333333333,771.4966666666667,-1608.5833333333333,3323.6871999999976,8056.38786666667,2161.034533333333,13239.047600000007,8518.166301002671,2726.7568009253123,-1724.7722087599839,1249.5118950586666,-1899.8382904826854,5964.305218560014,8392.530954189335,-12221.029159669337,5810.687602703997,-6386.492293952003,7653.8235771946665,-3744.7349602186614,2555.848489435398,-7870.362365223193,10018.334597615998,7275.364737864,9460.002394233645,-18976.755995004307,-3002.22239661,-115.9570867013516,7373.498923515286,7658.45132111431,-1895.697555176853,10553.965642067948,9585.95410895932,4036.783770328373,4695.474069772107,18804.067091048157,-2313.6820561706486,14109.909848558007,9044.852998541346,15002.529403442755,20677.450765455524,-913.800811620075,2867.8541993272956,19300.387366333067,2.3 استثمارات الحافظة,,3.2 Portfolio investment ,-10193.207004957489,8145.42730105096,10810.727916966474,-1910.4988609925683,-27247.43698127013,-14029.178943780325,-7812.309695018998,-3297.460460068259,,2.3 استثمارات الحافظة,,,,,,,,,,,,,,,,,,,,
3.2.1 Net acquisition of financial assets,-350.1333333333333,11932.853333333333,5472.266666666666,3847.4666666666667,20133.48333333333,16656.92866666667,15423.918666666666,4093.4149999999995,8387.826666666668,26982.658533333335,10421.662788226668,17073.919055930663,25073.31000306133,28515.21379595887,35011.01798950131,53551.96126485403,53246.05617130795,48221.813269038124,67563.7005194958,51042.64585753822,23693.39498046443,,1.2.3 صافي حيازة الأصول المالية,,3.2.1 Net acquisition of financial assets,2231.733333333333,4595.093333333333,3628.96,1477.0666666666666,2690.9333333333334,5208.8,-2053.0666666666666,-374.4,445.6,1921.3333333333333,3687.4666666666667,-2206.9333333333334,2434.6666666666665,6261.216666666666,7637.8933333333325,3799.706666666664,3555.777333333336,6752.390000000002,1190.8126666666665,5157.948666666666,6500.370666666667,1107.4066666666665,4432.361999999999,3383.7793333333334,2195.7833333333333,-3635.8450000000003,4173.763333333333,1359.7133333333334,1550.15,7038.656666666667,1211.55,-1412.53,3631.4205333333307,7484.654533333336,3196.2345333333333,12670.348933333338,8274.432967669338,3352.6234675919786,-1880.2388754266506,674.845228392,-2244.328957149352,6386.15588522668,8732.530954189335,4199.561173663998,6287.351602703998,4481.443706047998,6518.250243861333,7786.264450448006,5182.097822768731,4209.550968110141,14130.826933882665,4992.738071197334,17745.11906090031,4627.124004995691,6358.563676973334,6280.211246631981,13557.713590181953,17272.412654447646,1234.5971114898134,21487.237908734613,17354.78780895932,12231.962934861707,6718.755403105441,16940.550024381486,4976.472610496018,10436.838915224671,8707.506781874683,24100.994961442757,33484.654498788856,6817.338321713259,4565.200332660632,22696.507366333062,1.2.3 صافي حيازة الأصول المالية,,3.2.1 Net acquisition of financial assets,13677.333477175844,13630.96294361763,19839.408210299804,3894.941226444944,6374.014705581152,-6388.462920918744,19016.57410387028,4691.269091931741,,1.2.3 صافي حيازة الأصول المالية,,,,,,,,,,,,,,,,,,,,
3.2.1.1 Equity and investment fund shares ,,,,6902.666666666667,7692.15,17769.462000000003,10352.985333333334,4588.348333333333,7897.960000000001,17533.60653333333,7097.873454893333,22175.896299402662,22751.27898328,25397.9642254042,33415.78370413332,58022.587329590024,56642.77860049995,51551.372385686125,57203.42422043372,24062.227768343455,35433.71701199595,,1.1.2.3 حقوق الملكية وأسهم صناديق الاستثمار,,3.2.1.1 Equity and investment fund shares ,,,,,,,,,1230.9333333333334,2450.133333333333,4795.733333333334,-1574.1333333333334,770.6666666666666,1111.35,5033.093333333333,777.0400000000001,1769.6173333333359,10304.95,2437.746,3257.148666666667,1271.8373333333334,2501.273333333333,4418.228666666666,2161.6459999999997,349.9166666666667,1755.6216666666667,1375.79,1107.02,2291.483333333333,5555.456666666667,869.95,-818.9300000000001,572.8605333333333,7818.380666666667,57.17986666666666,9085.185466666668,6968.254567669339,2216.759467591987,-795.5799420933228,-1291.5606382746694,1844.61386477332,7807.675778421344,7061.749550853333,5461.857105354667,3922.7945786026667,2639.4946624746667,6243.904239085333,9945.085503117332,8193.742141102064,4317.655119816803,11267.919290263997,1618.6476742213358,19646.602436808553,5864.811780626117,2264.939847322667,5639.429639375987,9694.714689080614,18062.59837050097,5551.824195436482,24713.450074571952,16004.11802898065,10837.00560964304,7146.05261714544,22655.602344730818,2096.532137826424,11601.17760461427,11508.08646177068,26345.57618147475,28789.550335716103,3308.5728625505944,5137.869824620627,19967.431197546397,1.1.2.3 حقوق الملكية وأسهم صناديق الاستثمار,,3.2.1.1 Equity and investment fund shares ,-1768.7336588188186,9786.933188323126,16425.906165691526,-381.87792685237866,10607.047255747339,401.1933935959307,20425.49969393694,3999.9766687157385,,1.1.2.3 حقوق الملكية وأسهم صناديق الاستثمار,,,,,,,,,,,,,,,,,,,,
3.2.1.2 Debt securities ,,,,-3055.2,12441.333333333332,-1112.5333333333303,5070.933333333333,-494.93333333333345,489.8666666666667,9449.052,3323.7893333333336,-5101.977243471999,2322.031019781333,3117.2495705546694,1595.2342853679945,-4470.626064736,-3396.722429191995,-3329.559116648,10360.276299062089,26980.418089194765,-11740.322031531516,,2.1.2.3 سندات الدين,,3.2.1.2 Debt securities ,,,,,,,,,-785.3333333333334,-528.8,-1108.2666666666667,-632.8,1664,5149.866666666667,2604.8,3022.6666666666642,1786.16,-3552.559999999997,-1246.9333333333334,1900.8,5228.533333333334,-1393.8666666666666,14.133333333333333,1222.1333333333334,1845.8666666666666,-5391.466666666666,2797.9733333333334,252.69333333333333,-741.3333333333334,1483.2,341.6,-593.6,3058.559999999997,-333.72613333333334,3139.054666666664,3585.163466666672,1306.1784,1135.8639999999918,-1084.658933333328,1966.4058666666692,-4088.9428219226716,-1421.519893194664,1670.7814033360053,-1262.2959316906695,2364.557024101331,1841.9490435733308,274.346004776,-2158.821052669328,-3011.644318333333,-108.10415170666133,2862.9076436186665,3374.0903969759975,-1901.4833759082399,-1237.6877756304268,4093.6238296506663,640.7816072559947,3862.9989011013363,-790.185716053328,-4317.227083946669,-3226.2121658373385,1350.6697799786693,1394.9573252186667,-427.29721404,-5715.052320349331,2879.940472669595,-1164.3386893896027,-2800.5796798959973,-2244.5812200319947,4695.104163072752,3508.765459162664,-572.6694919599946,2729.0761687866666,2.1.2.3 سندات الدين,,3.2.1.2 Debt securities ,15446.067135994663,3844.029755294504,3413.502044608277,4276.819153297322,-4233.032550166187,-6789.656314514675,-1408.9255900666585,691.2924232160026,,2.1.2.3 سندات الدين,,,,,,,,,,,,,,,,,,,,
3.2.2 Net incurrence of liabilities,,,,2217.0204704306216,-5.226666666666643,1502.6666666666667,-623.7333333333333,909.0666666666667,1781.6533333333332,202.50133333333335,-348,16837.950333333334,21740.026077333332,16536.028336266667,47645.95107358333,29861.74293333333,16123.777131200004,12378.203074666668,25631.808999999994,44190.19650547085,76079.78106060214,,2.2.3 صافي تحمل الخصوم,,3.2.2 Net incurrence of liabilities,,,,,,,,,887.4817451333333,904.8873966666666,385.72109135062135,38.93023728,-63.54666666666667,328.18666666666667,-119.46666666666667,-150.4,306.6666666666667,516.8,264.53333333333336,414.6666666666667,-438.6666666666667,205.86666666666667,-339.46666666666664,-51.46666666666667,377.3333333333333,-474.4,1010.9333333333333,-4.8,688.7733333333333,456.77333333333337,440.05333333333334,196.05333333333334,307.73333333333335,-571.7333333333333,1035.2,-568.6986666666667,-243.73333333333332,625.8666666666667,-155.46666666666667,-574.6666666666666,-344.49066666666664,421.85066666666665,340,16420.590333333334,476.664,10867.936,-1135.5733333333333,11530.999410666667,2626.249333333333,12079.913333333334,4112.492336266667,-2282.6266666666666,8285.116666666667,23603.879999999997,9360.786073583333,6396.168333333333,6184.214666666667,9613.961333333335,3130.2946666666667,10933.272266666667,7768.8337,8195.179164533334,2023.2813333333334,-1863.5170666666668,7290.154666666667,-3673.070933333336,-337.346216666664,9098.465558,12807.20373333333,7731.139133333333,1697.346133333336,3396.119999999997,2.2.3 صافي تحمل الخصوم,,3.2.2 Net incurrence of liabilities,23870.540482133332,5485.53564256667,9028.680293333331,5805.440087437512,33621.45168685128,7640.716022861581,26828.88379888928,7988.729552000001,,2.2.3 صافي تحمل الخصوم,,,,,,,,,,,,,,,,,,,,
3.2.2.1 Equity and investment fund shares ,,,,,,,,,,,,,,1986.0416695999995,22471.405333333332,5723.919999999999,4769.1959645333345,10800.149333333335,4223.413333333333,6228.075682133331,6474.383475733333,,1.2.2.3 حقوق الملكية وأسهم صناديق الاستثمار,,3.2.2.1 Equity and investment fund shares ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131.429333333333,2489.9466666666663,-217.70766373333333,-2417.6266666666666,3526.5066666666667,9911.653333333332,6425.730666666667,2607.514666666667,197.84,2833.661333333333,1423.0346666666667,1269.3839999999998,1853.3600000000001,895.3292978666667,1212.5333333333333,807.9733333333334,7031.482666666667,1268.4266666666667,-380.9866666666667,2881.226666666667,880.7733333333333,1601.3839999999998,1074.0426666666667,667.2133333333334,1.2.2.3 حقوق الملكية وأسهم صناديق الاستثمار,,3.2.2.1 Equity and investment fund shares ,639.0303488000001,3257.269333333333,1306.234666666664,1025.5413333333333,524.4129381333333,1076.5814626666665,2897.9799399999997,1975.4091349333332,,1.2.2.3 حقوق الملكية وأسهم صناديق الاستثمار,,,,,,,,,,,,,,,,,,,,
3.2.2.2 Debt securities ,,,,,,,,,,,,,,14549.986666666666,25174.545740249996,24137.822933333333,11354.581166666669,1578.053741333333,21408.395666666664,37962.120823337515,69605.3975848688,,2.2.2.3 سندات الدين,,3.2.2.2 Debt securities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.82,9589.966666666667,4330.2,135,4758.61,13692.226666666666,2935.055406916667,3788.6536666666666,5986.374666666667,6780.3,1707.26,9663.888266666667,5915.4737000000005,7299.849866666667,810.7479999999999,-2671.4904,258.67199999999997,-4941.497600000002,43.64045000000267,6217.2388913333325,11926.430399999996,6129.755133333334,623.3034666666694,2728.906666666664,2.2.2.3 سندات الدين,,3.2.2.2 Debt securities ,23231.510133333333,2228.266309233336,7722.445626666667,4779.898754104178,33097.03874871795,6564.134560194912,23930.903858889284,6013.320417066667,,2.2.2.3 سندات الدين,,,,,,,,,,,,,,,,,,,,
3.3 Other investment,4442.4,13886.133333333333,16861.333333333332,-400.71013333333343,6897.899999999996,7501.7177333333375,11243.370666666666,10965.763333333332,54697.45333333333,33193.091733333335,35113.42304773598,28949.169405254746,39442.19140733009,41593.92770835442,37717.570216095206,-5796.066260534606,-4435.6036600794,88450.21195603792,-4638.525935834912,-42428.535942164264,-12969.833630326484,,3.3 استثمارات أخرى,,3.3 Other investment,3879.4666666666667,7627.733333333334,3057.3333333333335,-678.4,3050.133333333333,6322.4,4499.2,2989.6,-7632.533333333334,11722.2832,-10405.126666666667,5914.666666666667,8432.975466666669,5371.859999999998,-7235.815466666666,328.87999999999465,-478.45599999999735,8530.672800000002,1561.8349333333333,-2112.3340000000003,4234.2080000000005,1153.5466666666666,6741.724,-886.1079999999997,6805.366666666667,9370.91,611.2199999999999,-5821.733333333334,16111.166666666666,7236.386666666667,18119.393333333333,13230.506666666666,13166.501878741334,9800.800124840003,7651.650796418666,2574.13893333333,10195.784912077334,13516.27530950933,7493.159961461326,3908.202864687997,9810.23744819735,-3199.4522520106752,4659.654926794531,17678.72928227354,18546.777321979658,6155.938499430073,8930.169610451412,5809.305975468949,7429.142521917517,12847.855330960758,12124.810331172665,9192.119524303484,-4145.945487294438,18822.534233245984,17519.312366902122,5521.669103241544,13305.528596195416,-3228.2065701346687,-140.58387409599965,-15732.804412499354,-11440.781940773973,12026.768999001984,-8129.584397297979,3107.9936789905682,42211.12545847026,754.9036589390754,37788.15471210484,7696.028126523742,9442.817249652428,44.14631236192266,433.0718325415151,-14558.561330390778,3.3 استثمارات أخرى,,3.3 Other investment,-413.23775238675466,-22053.48034470405,-16974.327123229592,-2987.490721843872,1310.5299283563975,1299.4149048128913,-1338.7331594274344,-14241.045304068337,,3.3 استثمارات أخرى,,,,,,,,,,,,,,,,,,,,
Net acquisition of financial assets,4421.066666666667,13957.333333333334,16837.6,2561.956533333333,9542.35333333333,6523.162000000006,7249.504,10284.963333333331,52336.65333333333,39201.527200000004,38728.47856804799,38717.3974145021,44567.221944333396,53307.79063123443,57671.12827379654,478.5750556981948,21580.3079038659,78331.9079432666,11770.624417787749,-7272.787855471776,26284.78577979055,,صافي حيازة الأصول المالية,,Net acquisition of financial assets,3872.8,7627.733333333334,3050.6666666666665,-593.8666666666667,3038.4,6322.4,4499.2,2977.6,1036.8,11321.189866666666,-7760.033333333334,-2036,1469.8288000000027,2991.313333333331,4457.6112,623.5999999999973,1172.8346666666694,6114.768800000003,197.07653333333334,-961.518,4234.741333333333,-110.45333333333333,7529.990666666667,-4404.774666666666,6825.633333333333,8519.176666666666,1843.4866666666667,-6903.333333333333,16766.633333333335,7024.92,18986.593333333334,9558.506666666666,17526.652533333334,9247.899200000005,5907.7904,6519.185066666663,7699.461155336,13792.878324367997,10904.341897245326,6331.797191098669,8696.891104501341,12064.718619821333,7946.910369079995,10008.877321099426,18262.825096972916,4963.699141266795,12948.706865993487,8391.990840100203,416.66565650418397,22851.478058547422,11668.539848495337,18371.10706768749,3441.9765025375573,22019.06997223265,24900.707537824775,7309.374261201558,13142.663821435413,2296.377495733867,-3229.1735445976133,-11731.29271687347,-11045.195152994245,16110.158317572112,5105.050342945461,11410.294396342573,31006.50669805959,9218.011000037744,40564.390573595505,-2457.000328426256,-6520.273018880906,10023.629968627592,6108.194322769846,2159.073145271219,صافي حيازة الأصول المالية,,Net acquisition of financial assets,1727.7736881279172,-15058.59153742673,-1640.3696269522452,7698.3996207792825,14797.035186047347,8936.190592425997,-611.435078949672,3162.9950802668745,,صافي حيازة الأصول المالية,,,,,,,,,,,,,,,,,,,,
3.3.1 Trade Credits,,,,,,,,,36774.333333333336,30518.4,19957.6,1704.3,2590.7,176.7,-261.8,-1587.8,-821.2,11070.333333333334,5920.431808928,2284.0092455000004,8152.1020533982355,,1.3.3 الائتمان التجاري,,3.3.1 Trade Credits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9232.533333333333,9360.266666666666,8005,10176.533333333333,8833.866666666667,8250.933333333332,7765.333333333333,5668.266666666666,5196.266666666666,6264.533333333334,4638.4,3858.4,1637.18,-109.06,-1317.1899999999998,1493.37,2332.9,-833.8,848.1,243.5,377,2269.3,714.8,-3184.4,1105.6,-983.4,1534.8,-1918.8,1020.7,-802.8,-1029.4,-776.3,-666.2,1275.1,892.2,-2322.3,10236.2,2151.8,-2799,1481.3333333333333,1645.3333333333333,1174.6508285759999,2759.2103525813336,341.23729443733333,1.3.3 الائتمان التجاري,,3.3.1 Trade Credits,1158.701524405336,-1393.1800197166694,-2094.699170399333,4613.186911210667,3770.436825690667,2262.9884922568453,988.097460517704,1130.5792749330185,,1.3.3 الائتمان التجاري,,,,,,,,,,,,,,,,,,,,
3.3.2 Currency and deposits,,,,-957.9613333333332,4897.32333333333,1248.5220000000045,8242.770666666667,15259.896666666666,14990.720000000001,9453.591466666669,20619.620968047995,36109.860347835434,27203.219544333402,44883.2564979011,49674.27289684721,-4487.3103718959355,24520.383762113368,66893.05594623458,18336.980878229268,-10529.95117187535,8420.763161286794,,2.3.3 العملة والودائع,,3.3.2 Currency and deposits,,,,,,,,,-490.4,4343.372,-3001.6,-1809.3333333333333,281.7066666666694,95.50999999999733,-370.37333333333333,4890.479999999997,-839.2453333333307,5558.406666666669,91.14533333333334,-3561.7846666666665,5250.341333333333,-1591.32,3927.1240000000003,656.6253333333333,3683.0333333333333,12353.91,950.9933333333333,-1728.04,3933.1,-506.55333333333334,7402.033333333334,4162.14,6919.85813333333,372.6922666666747,-1255.0037333333335,3416.0447999999974,2483.9726220026696,5832.918591034663,5800.958963911995,6501.770791098666,5238.867732773341,10809.373222453334,10862.520919311995,9199.098473296763,10017.20003030625,5222.565553106794,5749.4192986548205,6214.034662265536,-613.541543495816,19799.607391880756,10176.163315162004,15521.027334354154,-1081.7594613531094,21652.57603126199,20234.322969904777,8869.133357033557,7361.19328995008,-415.6885671616,-1990.9064274989494,-9441.908667185466,-7000.757720595579,15470.597460366513,4189.56975315293,11860.974269189506,21243.404227696923,7189.12941187241,42328.18738528902,-3867.6650786237733,4538.438070866688,6771.334603167179,3015.5906857958107,4011.617518399592,2.3.3 العملة والودائع,,3.3.2 Currency and deposits,-911.720660345552,-12667.752562339387,-171.74924504092,3221.271295850509,7295.96216724248,5898.445626233154,-515.6769602537893,-4257.967671935051,,2.3.3 العملة والودائع,,,,,,,,,,,,,,,,,,,,
